"S1","S2","S3","S4","S5"
"Alabama",2443725,2426593,2447214,2415742,2372995
"Alaska",352699,345935,349195,350103,343770
"Arizona",3286422,3211833,3314570,3270092,3323794
"Arkansas",1491905,1446741,1470196,1502252,1459114
"California",14893759,14981770,14851390,14835451,14981176
"Colorado",2648320,2691492,2522133,2619334,2718090
"Connecticut",1570397,1591416,1566911,1579595,1579092
"Delaware",476741,478300,475264,471347,468322
"District of Columbia",339659,337561,341172,344180,339142
"Florida",10158656,9948969,10041275,10270638,10153955
"Georgia",4548076,4530035,4609089,4498627,4469362
"Hawaii",577906,580546,589223,579433,578696
"Idaho",792965,827964,792732,801214,814070
"Illinois",5470267,5465079,5474816,5476703,5462316
"Indiana",2997286,3004134,3024163,2961886,3006582
"Iowa",1460258,1508823,1485991,1454584,1492469
"Kansas",1339902,1330605,1323032,1330839,1334286
"Kentucky",2082394,2088451,2045448,2060174,2085069
"Louisiana",2390750,2238930,2298927,2237234,2325028
"Maine",781086,780340,774777,779010,780252
"Maryland",2562298,2553215,2579761,2586077,2617852
"Massachusetts",3013059,3028609,3035940,2968854,3052749
"Michigan",4642565,4656804,4656574,4651105,4647145
"Minnesota",2536679,2565275,2547407,2579013,2587267
"Mississippi",1414136,1413261,1415714,1415826,1403047
"Missouri",2926757,2946607,2923347,2921927,2923916
"Montana",556513,557147,583576,555962,561015
"Nebraska",881622,916545,902665,912340,898630
"Nevada",1405928,1391143,1402743,1367397,1409290
"New Hampshire",666839,673392,680580,671925,672060
"New Jersey",3748757,3721618,3725296,3707433,3745635
"New Mexico",1014511,1001134,1041685,1001710,1006314
"New York",8547138,8715002,8660494,8721856,8648416
"North Carolina",5328276,5145833,5127794,5135573,5403260
"North Dakota",492025,483526,461668,497130,473734
"Ohio",5303884,5332464,5312538,5320311,5354496
"Oklahoma",1857014,1879352,1890671,1872008,1877117
"Oregon",1942888,1922867,1891618,1921348,1887386
"Pennsylvania",5883070,5957109,5866620,5904004,5916339
"Rhode Island",480172,476665,476807,477187,474936
"South Carolina",2513265,2573207,2523905,2503302,2593653
"South Dakota",434803,435003,442182,441973,441854
"Tennessee",3188646,3163076,3161259,3176372,3180916
"Texas",12307126,12677203,12816036,12780496,12699135
"Utah",1255092,1264712,1228531,1264834,1279658
"Vermont",355433,353784,357776,356855,358652
"Virginia",3713473,3788763,3780762,3852998,3850061
"Washington",3429531,3371823,3395480,3422641,3524916
"West Virginia",907223,910263,907334,908000,904765
"Wisconsin",2810193,2850600,2841674,2853735,2831691
"Wyoming",313497,311226,312868,311697,312954
"Puerto Rico",1786917,1766561,1791776,1739310,1833669
